64789029,Algorithm,Local Dominant
64789029,Input file,bi_full_32_1_exp_1.bl
64789029,Nodes,32
64789029,Edges,256
64789029,Total time,0.000
64789029,Total cost,195
70999145,Algorithm,Local Dominant
70999145,Input file,bi_full_32_1_exp_3.bl
70999145,Nodes,32
70999145,Edges,256
70999145,Total time,0.000
70999145,Total cost,143
50122850,Algorithm,Local Dominant
50122850,Input file,bi_full_4096_1_100_uni_4.bl
50122850,Nodes,4096
50122850,Edges,4194304
50122850,Total time,0.558
50122850,Total cost,2048
45716814,Algorithm,Local Dominant
45716814,Input file,bi_full_512_1_exp_4.bl
45716814,Nodes,512
45716814,Edges,65536
45716814,Total time,0.009
45716814,Total cost,55
46699470,Algorithm,Local Dominant
46699470,Input file,bi_full_128_1_exp_2.bl
46699470,Nodes,128
46699470,Edges,4096
46699470,Total time,0.000
46699470,Total cost,150
86267303,Algorithm,Local Dominant
86267303,Input file,bi_full_1024_30_10_gauss_3.bl
86267303,Nodes,1024
86267303,Edges,262144
86267303,Total time,0.056
86267303,Total cost,1219
92090421,Algorithm,Local Dominant
92090421,Input file,bi_full_256_1_exp_4.bl
92090421,Nodes,256
92090421,Edges,16384
92090421,Total time,0.002
92090421,Total cost,107
50187317,Algorithm,Local Dominant
50187317,Input file,bi_full_1024_1_100_uni_1.bl
50187317,Nodes,1024
50187317,Edges,262144
50187317,Total time,0.061
50187317,Total cost,521
83528419,Algorithm,Local Dominant
83528419,Input file,bi_full_8192_30_10_gauss_5.bl
83528419,Nodes,8192
83528419,Edges,16777216
83528419,Total time,40.344
83528419,Total cost,212
33195064,Algorithm,Local Dominant
33195064,Input file,bi_full_1024_1_exp_3.bl
33195064,Nodes,1024
33195064,Edges,262144
33195064,Total time,0.056
33195064,Total cost,6
61229465,Algorithm,Local Dominant
61229465,Input file,bi_full_16_30_10_gauss_5.bl
61229465,Nodes,16
61229465,Edges,64
61229465,Total time,0.000
61229465,Total cost,142
14245307,Algorithm,Local Dominant
14245307,Input file,bi_full_32_1_100_uni_3.bl
14245307,Nodes,32
14245307,Edges,256
14245307,Total time,0.000
14245307,Total cost,168
96797873,Algorithm,Local Dominant
96797873,Input file,bi_full_4096_30_10_gauss_1.bl
96797873,Nodes,4096
96797873,Edges,4194304
96797873,Total time,7.078
96797873,Total cost,887
45175961,Algorithm,Local Dominant
45175961,Input file,bi_full_32768_1_exp_1.bl
45175961,Nodes,32768
45175961,Edges,268435456
45175961,Total time,14.348
45175961,Total cost,0
92051388,Algorithm,Local Dominant
92051388,Input file,bi_full_128_1_exp_1.bl
92051388,Nodes,128
92051388,Edges,4096
92051388,Total time,0.002
92051388,Total cost,156
29920408,Algorithm,Local Dominant
29920408,Input file,bi_full_4096_1_100_uni_5.bl
29920408,Nodes,4096
29920408,Edges,4194304
29920408,Total time,0.587
29920408,Total cost,2048
97764556,Algorithm,Local Dominant
97764556,Input file,bi_full_16384_1_100_uni_5.bl
97764556,Nodes,16384
97764556,Edges,67108864
97764556,Total time,4.206
97764556,Total cost,8192
21582856,Algorithm,Local Dominant
21582856,Input file,bi_full_16384_30_10_gauss_3.bl
21582856,Nodes,16384
21582856,Edges,67108864
21582856,Total time,117.175
21582856,Total cost,11
77464434,Algorithm,Local Dominant
77464434,Input file,bi_full_16384_1_100_uni_4.bl
77464434,Nodes,16384
77464434,Edges,67108864
77464434,Total time,3.752
77464434,Total cost,8192
32706789,Algorithm,Local Dominant
32706789,Input file,bi_full_16_1_exp_5.bl
32706789,Nodes,16
32706789,Edges,64
32706789,Total time,0.000
32706789,Total cost,122
64754400,Algorithm,Local Dominant
64754400,Input file,bi_full_32768_1_100_uni_1.bl
64754400,Nodes,32768
64754400,Edges,268435456
64754400,Total time,13.473
64754400,Total cost,16384
31769178,Algorithm,Local Dominant
31769178,Input file,bi_full_256_1_100_uni_5.bl
31769178,Nodes,256
31769178,Edges,16384
31769178,Total time,0.002
31769178,Total cost,216
65373642,Algorithm,Local Dominant
65373642,Input file,bi_full_16384_1_100_uni_3.bl
65373642,Nodes,16384
65373642,Edges,67108864
65373642,Total time,4.198
65373642,Total cost,8192
28145309,Algorithm,Local Dominant
28145309,Input file,bi_full_512_1_exp_5.bl
28145309,Nodes,512
28145309,Edges,65536
28145309,Total time,0.010
28145309,Total cost,53
38445378,Algorithm,Local Dominant
38445378,Input file,bi_full_16_1_100_uni_2.bl
38445378,Nodes,16
38445378,Edges,64
38445378,Total time,0.000
38445378,Total cost,132
49951714,Algorithm,Local Dominant
49951714,Input file,bi_full_8192_30_10_gauss_4.bl
49951714,Nodes,8192
49951714,Edges,16777216
49951714,Total time,43.383
49951714,Total cost,240
62936149,Algorithm,Local Dominant
62936149,Input file,bi_full_1024_30_10_gauss_5.bl
62936149,Nodes,1024
62936149,Edges,262144
62936149,Total time,0.055
62936149,Total cost,1159
24144099,Algorithm,Local Dominant
24144099,Input file,bi_full_16_1_100_uni_4.bl
24144099,Nodes,16
24144099,Edges,64
24144099,Total time,0.000
24144099,Total cost,183
48307887,Algorithm,Local Dominant
48307887,Input file,bi_full_32_1_100_uni_1.bl
48307887,Nodes,32
48307887,Edges,256
48307887,Total time,0.000
48307887,Total cost,194
28387522,Algorithm,Local Dominant
28387522,Input file,bi_full_1024_1_100_uni_4.bl
28387522,Nodes,1024
28387522,Edges,262144
28387522,Total time,0.037
28387522,Total cost,516
85192105,Algorithm,Local Dominant
85192105,Input file,bi_full_32_1_100_uni_2.bl
85192105,Nodes,32
85192105,Edges,256
85192105,Total time,0.000
85192105,Total cost,159
94192401,Algorithm,Local Dominant
94192401,Input file,bi_full_32768_30_10_gauss_3.bl
94192401,Nodes,32768
94192401,Edges,268435456
94192401,Total time,225.992
94192401,Total cost,0
82824726,Algorithm,Local Dominant
82824726,Input file,bi_full_128_30_10_gauss_4.bl
82824726,Nodes,128
82824726,Edges,4096
82824726,Total time,0.000
82824726,Total cost,503
29415514,Algorithm,Local Dominant
29415514,Input file,bi_full_128_1_exp_5.bl
29415514,Nodes,128
29415514,Edges,4096
29415514,Total time,0.000
29415514,Total cost,154
23145716,Algorithm,Local Dominant
23145716,Input file,bi_full_8192_1_100_uni_2.bl
23145716,Nodes,8192
23145716,Edges,16777216
23145716,Total time,1.603
23145716,Total cost,4096
69828924,Algorithm,Local Dominant
69828924,Input file,bi_full_256_30_10_gauss_1.bl
69828924,Nodes,256
69828924,Edges,16384
69828924,Total time,0.004
69828924,Total cost,747
49890816,Algorithm,Local Dominant
49890816,Input file,bi_full_32768_1_100_uni_3.bl
49890816,Nodes,32768
49890816,Edges,268435456
49890816,Total time,12.775
49890816,Total cost,16384
70307059,Algorithm,Local Dominant
70307059,Input file,bi_full_2048_1_100_uni_2.bl
70307059,Nodes,2048
70307059,Edges,1048576
70307059,Total time,0.335
70307059,Total cost,1024
99075824,Algorithm,Local Dominant
99075824,Input file,bi_full_256_1_100_uni_2.bl
