67865865,Algorithm,BlossomV
67865865,Input file,bi_full_4096_m1024_30_10_gauss_2.bl
67865865,Nodes,4096
67865865,Edges,4194304
67865865,Total time,6.215
67865865,Total cost,888
93055792,Algorithm,BlossomV
93055792,Input file,bi_full_4096_m768_30_10_gauss_1.bl
93055792,Nodes,4096
93055792,Edges,4194304
93055792,Total time,6.894
93055792,Total cost,826
13237579,Algorithm,BlossomV
13237579,Input file,bi_full_4096_m256_30_10_gauss_2.bl
13237579,Nodes,4096
13237579,Edges,4194304
13237579,Total time,5.391
13237579,Total cost,834
50592571,Algorithm,BlossomV
50592571,Input file,bi_full_4096_m1792_30_10_gauss_1.bl
50592571,Nodes,4096
50592571,Edges,4194304
50592571,Total time,7.120
50592571,Total cost,795
34049320,Algorithm,BlossomV
34049320,Input file,bi_full_4096_m1280_1_100_uni_1.bl
34049320,Nodes,4096
34049320,Edges,1572864
34049320,Total time,0.866
34049320,Total cost,2048
98882337,Algorithm,BlossomV
98882337,Input file,bi_full_4096_m1536_30_10_gauss_1.bl
98882337,Nodes,4096
98882337,Edges,4194304
98882337,Total time,7.336
98882337,Total cost,878
67348505,Algorithm,BlossomV
67348505,Input file,bi_full_4096_m768_1_exp_1.bl
67348505,Nodes,4096
67348505,Edges,4194304
67348505,Total time,0.710
67348505,Total cost,0
32375137,Algorithm,BlossomV
32375137,Input file,bi_full_4096_m1024_1_exp_1.bl
32375137,Nodes,4096
32375137,Edges,4194304
32375137,Total time,0.668
32375137,Total cost,0
38262403,Algorithm,BlossomV
38262403,Input file,bi_full_4096_m768_1_100_uni_2.bl
38262403,Nodes,4096
38262403,Edges,2621440
38262403,Total time,0.574
38262403,Total cost,2048
21277642,Algorithm,BlossomV
21277642,Input file,bi_full_4096_m0_1_100_uni_2.bl
21277642,Nodes,4096
21277642,Edges,4194304
21277642,Total time,0.580
21277642,Total cost,2048
15439608,Algorithm,BlossomV
15439608,Input file,bi_full_4096_m1280_1_exp_1.bl
15439608,Nodes,4096
15439608,Edges,4194304
15439608,Total time,0.602
15439608,Total cost,0
10689528,Algorithm,BlossomV
10689528,Input file,bi_full_4096_m0_1_exp_2.bl
10689528,Nodes,4096
10689528,Edges,4194304
10689528,Total time,0.748
10689528,Total cost,0
66194155,Algorithm,BlossomV
66194155,Input file,bi_full_4096_m0_1_exp_1.bl
66194155,Nodes,4096
66194155,Edges,4194304
66194155,Total time,0.807
66194155,Total cost,0
21911907,Algorithm,BlossomV
21911907,Input file,bi_full_4096_m256_1_exp_2.bl
21911907,Nodes,4096
21911907,Edges,4194304
21911907,Total time,0.690
21911907,Total cost,0
79351769,Algorithm,BlossomV
79351769,Input file,bi_full_4096_m0_1_100_uni_1.bl
79351769,Nodes,4096
79351769,Edges,4194304
79351769,Total time,0.615
79351769,Total cost,2048
87209133,Algorithm,BlossomV
87209133,Input file,bi_full_4096_m1280_30_10_gauss_1.bl
87209133,Nodes,4096
87209133,Edges,4194304
87209133,Total time,7.927
87209133,Total cost,839
98966274,Algorithm,BlossomV
98966274,Input file,bi_full_4096_m256_1_100_uni_1.bl
98966274,Nodes,4096
98966274,Edges,3670016
98966274,Total time,0.506
98966274,Total cost,2048
75021082,Algorithm,BlossomV
75021082,Input file,bi_full_4096_m768_1_100_uni_1.bl
75021082,Nodes,4096
75021082,Edges,2621440
75021082,Total time,0.610
75021082,Total cost,2048
90823729,Algorithm,BlossomV
